"bookname";"price";"author";"data";"public"
"Python Linux系统管理与自动化运维 赖明星 9787111578659 机械工业出版社";57.9;"赖明星";"2017-09-01";"机械工业出版社"
"Python Linux系统管理与自动化运维 赖明星 机械工业出版社 【正版图书】";54.0;"赖明星";"2017-09-01";"机械工业出版社"
"Python Linux系统管理与自动化运维 赖明星 著";66.8;"赖明星";"2017-09-01";"机械工业出版社"
"Python Linux系统管理与自动化运维/LinuxUnix技术丛书";64.02;"赖明星";"2017-09-01";"机械工业"
"Python OpenCV 从入门到实践（全彩版）";49.0;"明日科技";"2021-05-01";"吉林大学出版社"
"Python OpenCV从入门到精通";39.9;"明日科技";"2021-09-01";"清华大学出版社"
"Python OpenCV从入门到精通 程序设计 Python 清华大学出版社";70.46;"明日科技";"2010-12-30";"清华大学出版社"
"Python OpenCV从入门到通 明日科技 Python程序设计软件工具 清华大学出版社9787302583615";68.0;"明日科技";"2020-10-02";"清华大学出版社"
"Python PyQt编程超级魔卡";14.4;"明日科技";"2021-07-01";"电子工业出版社"
"Python Qt GUI与数据可视化编程";49.5;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 pyqt5教程书籍 pyqt5快速开发与实战Qt5 GU";49.5;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 pyqt5教程书籍 pyqt5快速开发与实战Qt5 GUI快速编程 PyQt";78.1;"王维波";"2021-04-20";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 pyqt5教程书籍 pyqt5快速开发与实战Qt5 GUI快速编程 pyth";85.0;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 pyqt5教程书籍 pyqt5快速开发与实战Qt5 GUI快速编程书";98.0;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 人民邮电出版社";72.3;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 王维波 栗宝鹃 张晓东 9787115514165 人民邮电出版社";74.3;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 王维波,栗宝鹃,张晓东 著";72.3;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI与数据可视化编程 王维波,栗宝鹃,张晓东 著 人民邮电出版社 9787115514165";81.18;"王维波";"2019-09-01";"人民邮电出版社"
"Python Qt GUI快速编程-PyQt编程指南【正版图书，满额减】";51.1;"Mark";"2016-08-01";"电子工业出版社"
"Python Qt GUI快速编程:PyQt编程指南 计算机网络 python语言编程入门教程书籍 python qt";72.0;"马克.萨默菲尔德";"2019-09-30";"电子工业出版社"
"Python R语言数据可视化之美专业图表绘制指南 Excel 数据之美 科学图表与商业图表的绘制 Python数据可视";490.0;"Unknow";"2018-01-01";"清华大学出版社"
"Python UNIX 和Linux 系统管理指南 [美]基弗特 杨明华";9.35;"基弗特";"2009-09-01";"机械工业出版社"
"Python Web 开发从入门到实战 Django+Bootstrap微课视频版 1500分钟视频讲解 案例素材 编程";52.91;"钱彬";"2010-12-30";"清华大学出版社"
"Python Web 开发从入门到实战（Django+Bootstrap）-微课视频版";29.9;"钱彬";"2020-07-01";"清华大学出版社"
"Python Web开发 测试驱动方法案例分析实战式TDD开发指南书籍Python编程语言Django技术开发现代Web";66.3;"Harry";"2020-09-12";"人民邮电出版社"
"Python Web开发从入门到实践（全彩版）";49.0;"明日科技";"2021-02-01";"吉林大学出版社"
"Python Web开发从入门到精通";49.9;"明日科技";"2021-06-01";"清华大学出版社"
"Python Web开发从入门到精通 （库区：M） 9787111645238";73.03;"张洪朋";"2020-05-01";"机械工业出版社"
"Python Web开发从入门到精通 （库区：M） 9787302566526";66.87;"明日科技";"2010-01-01";"清华大学出版社"
"Python Web开发从入门到精通 9787111645238";71.94;"张洪朋";"2020-05-01";"机械工业出版社"
"Python Web开发从入门到精通 张洪朋 9787111645238";86.1;"张洪朋";"2020-05-01";"机械工业出版社"
"Python Web开发从入门到精通 张洪朋 机械工业出版社【正版书籍】";84.77;"张洪朋";"2020-05-01";"机械工业出版社"
"Python Web开发从入门到精通 清华大学出版社 9787302566526 明日科技";83.84;"明日科技";"2010-01-01";"清华大学出版社"
"Python Web开发从入门到精通 计算机网络 程序设计 Python 网页制作 王海飞 零基础学python网页制作";86.19;"王海飞";"2010-12-30";"北京大学出版社"
"Python Web开发基础教程（Django版）（微课版）";39.84;"夏帮贵";"2020-01-01";"人民邮电出版社"
"Python Web开发学习实录（配光盘）（Web程序员成功之路） 李勇、王文强";50.8;"李勇";"2011-09-01";"清华大学出版社"
"Python Web开发学习实录（配光盘）（Web程序员成功之路） 清华大学出版社";50.8;"李勇";"2011-09-01";"清华大学出版社"
"Python Web开发学习实录(附光盘)/Web程序员成功之路";48.18;"李勇";"2011-10-01";"清华大学"
"Python Web开发实战";54.6;"董伟明";"2016-09-01";"电子工业"
"Python Web开发实战( 货号:712129733)";81.9;"董伟明";"2016-09-01";"电子工业出版社"
"Python Web开发案例教程――使用Flask、Tornado、Django 慕课版 大中专理科计算机";69.78;"南淑萍";"Unknow";"人民邮电出版社"
"Python Web开发案例教程（慕课版）――使用Flask、Tornado、Django";47.84;"南淑萍";"2020-06-01";"人民邮电出版社"
"Python Web编程";31.84;"肖睿";"2020-05-01";"人民邮电出版社"
"Python Web自动化测试入门与实战";76.8;"杨定佳";"2020-06-01";"清华大学出版社"
"Python Web自动化测试设计与实现";60.04;"陈晓伍";"2019-03-01";"清华大学出版社"
"Python Web自动化测试设计与实现 陈晓伍 Web UI自动化测试 API自动化测试及相关基础开发 python编";76.0;"陈晓伍";"2019-11-04";"清华大学出版社"
"Python 从入门到项目实战：全程视频版 沐言科技,李兴华 9787517084846";78.8;"沐言科技";"2020-05-01";"中国水利水电出版社"
"PYTHON 学习手册（上下册） （库区：M） 9787111603665";146.73;"马克・卢茨";"2018-10-01";"机械工业出版社"
"PYTHON 学习手册（上下册） (美)马克・卢茨(Mark Lutz) 9787111603665 机械工业出版社";127.02;"马克・卢茨";"2018-10-01";"机械工业出版社"
"PYTHON 学习手册（上下册） 9787111603665 机械工业出版社 (美)马克・卢茨(Mark Lutz)";151.11;"马克・卢茨";"2018-10-01";"机械工业出版社"
"Python 归来 增强版 洪锦魁 清华大学出版社9787302579779";169.0;"洪锦魁";"2020-10-01";"清华大学出版社"
"Python 忍者秘籍";63.99;"科迪・杰克逊";"2020-06-01";"人民邮电出版社"
"Python 快乐编程 人工智能―深度学习基础";24.5;"千锋教育高教产品研发部";"2020-11-01";"清华大学出版社"
"Python 快速入门 第三3版 Python编程基础教程从入门到实践 快速上手零基础学Python";44.5;"娜奥米・塞德";"2019-08-01";"人民邮电出版社"
"Python 数据可视化方法、实践与应用";60.83;"王振丽";"2020-12-01";"清华大学出版社"
"Python 数据可视化方法、实践与应用 （库区：M） 9787302568674";52.93;"王振丽";"2020-12-01";"清华大学出版社"
"Python 数据科学手册 （库区：M） 9787115475893";73.03;"杰克・万托布拉斯";"2018-02-01";"人民邮电出版社"
"Python 数据科学指南9787115435101北京海关图书专营店";61.3;"暂无信息";"2016-11-01";"人民邮电出版社"
"Python 新手学Django 2 0架站的16堂课 何敏煌,林亮昀 9787302523321 清华大学出版社";70.3;"何敏煌";"2019-03-01";"清华大学出版社"
"Python 新手学Django 2.0架站的16堂课 清华大学出版社 9787302523321 何敏煌,林亮昀 著";83.16;"何敏煌";"2019-03-01";"清华大学出版社"
"Python 新手学Django 2.0架站的16堂课（第2版）";96.2;"何敏煌";"2019-03-25";"清华大学出版社"
"Python 机器学习教程";49.0;"顾涛";"2021-06-01";"北京大学出版社"
"Python 树莓派编程超级魔卡";28.6;"明日科技";"2021-09-01";"电子工业出版社"
"Python 树莓派编程超级魔卡 明日科技 著 电子工业出版社 9787121418075";24.74;"明日科技";"2010-01-01";"电子工业出版社"
"Python 树莓派编程魔卡 9787121418075 明日科技 电子工业出版社";21.5;"明日科技";"2000-01-01";"电子工业出版社"
"Python 深度学习";73.4;"吕云翔";"2020-10-30";"机械工业出版社"
"Python 深度学习 Python深度学习器学习算法分析 Python开发从入门到精通系列 机械工业出版社";69.81;"Unknow";"2020-10-01";"机械工业出版社"
"Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案";73.4;"英德拉.丹.巴克";"2018-06-01";"机械工业出版社"
"Python 深度学习实战:75个有关神经网络建模、强化学习与迁移学习的解决方案 9787111598725 机械工业出";52.93;"英德拉・丹・巴克";"2018-06-01";"机械工业出版社"
"Python 游戏开发从入门到精通";110.5;"张有菊";"2021-06-30";"机械工业出版社"
"Python 游戏开发从入门到精通 9787111681069 张有菊 机械工业出版社";89.3;"张有菊";"2021-06-01";"机械工业出版社"
"Python 游戏开发从入门到精通 张有菊 9787111681069";61.88;"张有菊";"2021-06-01";"机械工业出版社"
"Python 神经网络编程 深度学习中文版 全2本机器学习书籍神经网络与深度学习 深度学习人工智能机器学习";237.2;"塔里克・拉希德";"2020-09-12";"人民邮电出版社"
"python 科技计算及实践 （库区：M） 9787302563976";59.63;"梁佩莹";"2010-01-01";"清华大学出版社"
"python 程序设计入门到实战 python基础教程 python核心编程 python编程从入门到实践 python";66.0;"何敏煌";"2019-09-30";"清华大学出版社"
"Python 程序设计基础实战教程";22.5;"韦玮";"2018-01-01";"清华大学出版社"
"Python 程序设计基础实战教程 韦玮 Python程序设计+Python程序设计案例课堂";114.0;"韦玮";"2018-01-01";"清华大学出版社"
"Python 算法教程";34.5;"Magnus";"2016-01-01";"人民邮电出版社"
"Python 算法教程+算法图解 算法基础书 Python";115.0;"Magnus";"2016-01-01";"人民邮电出版社"
"PYTHON 编程 从入门到精通 9787115478801 枫林苑图书专营店 数量：";51.35;"叶维忠";"2018-11-01";"人民邮电出版社"
"PYTHON 编程 从入门到精通 9787115478801 知礼图书专营店 数量：";51.35;"叶维忠";"2018-11-01";"人民邮电出版社"
"Python 编程和实践！深度学习教科书 [日]石川聪彦 著 中国水利水电出版社【正版书籍】";74.85;"石川聪彦";"2021-03-01";"中国水利水电出版社"
"Python 编程技术手册";44.9;"林信良";"2020-10-01";"水利水电出版社"
"Python 网络爬虫从入门到精通";73.4;"吕云翔";"2019-05-21";"机械工业出版社"
"Python 网络爬虫从入门到精通 机械工业出版社 9787111625933 吕云翔,张扬,韩延刚等";66.36;"吕云翔";"2019-05-01";"机械工业出版社"
"Python 自动化接口测试自学手册";64.9;"张挺";"2020-11-01";"中国铁道出版社"
"Python 超入门 9787111680932 枫林苑图书专营店 数量：";57.42;"�`田正浩";"2021-07-01";"机械工业出版社"
"Python 超入门 从基础入门到人工智能应用【全彩】";64.78;"中岛省吾";"2010-01-01";"人民邮电出版社"
"Python 超入门 从基础入门到人工智能应用【全彩】 9787115553546";51.35;"中岛省吾";"2010-01-01";"人民邮电出版社"
"Python 超入门 从基础入门到人工智能应用【全彩】 9787115553546 人民邮电出版社 中岛省吾";60.04;"中岛省吾";"2010-01-01";"人民邮电出版社"
"Python 金融大数据分析 python3爬虫数据分析 入门基础教程 金融分析处理与开发书籍 数学推断统计学 金融经济";96.0;"Yves";"2019-09-30";"人民邮电出版社"
"Python 金融实战Pyehon for Finance 9787115457073 枫林苑图书专营店";45.82;"Yuxing";"2017-06-01";"人民邮电出版社"
"Python 预测之美：数据分析与算法实战";91.63;"游皓麟";"2020-07-01";"电子工业出版社"
"Python 预测之美：数据分析与算法实战 9787121390418 枫林苑图书专营店 数量：";77.35;"游皓麟";"2020-07-01";"电子工业出版社"
"Python 预测之美：数据分析与算法实战 游皓麟 9787121390418";94.01;"游皓麟";"2020-07-01";"电子工业出版社"
"Python 黑帽子：黑客与渗透测试编程之道";39.5;"Justin";"2021-06-01";"电子工业出版社"
"Python――数据科学的手段（第2版）（数据分析与应用丛书）";37.2;"吴喜之";"2021-01-27";"中国人民大学出版社"
"Python――统计人的视角(统计数据分析与应用丛书)";31.9;"吴喜之";"2018-01-01";"中国人民大学出版社"
"Python*** 技(运用Python成为***黑客)/安全技术大系";41.87;"奥科罗|译者";"2016-01-01";"电子工业"
"Python***技(运用Python成为*黑客)/安全技术大系~~本书将作为“神话――信息安全人才颠覆行动”学员学习用";39.5;"奥科罗|译者";"2016-01-01";"电子工业"
"Python*优化算法实战 Python基础程序设计 Gurobi优化器线性规划整数规划多目标优化动态规划图与网络分析智";60.06;"苏振裕";"2010-12-30";"北京大学出版社"
"Python*级机器学习 人工智能AI书籍教程 无监督机器学习卷积神经网络特征工程算法 数据科学";46.0;"约翰・哈蒂";"2020-01-01";"人民邮电出版社"
"Python+Excel办公自动化一本通";94.8;"杨开振";"2021-08-01";"电子工业出版社"
"Python+Excel职场办公数据分析";82.7;"王红明";"2021-07-25";"机械工业出版社"
"Python+Excel职场办公数据分析数据工作量大的职场人士财务人士数据分析人士商务人士自动化办公用户需要处理大数据的";78.68;"Unknow";"2021-06-01";"机械工业出版社"
"Python+Office：轻松实现Python办公自动化";39.5;"王国平";"2021-07-01";"电子工业出版社"
"Python+Office：轻松实现Python办公自动化 利用Python文本自动化处理制作企业运营月报 Word版操";75.76;"王国平";"Unknow";"电子工业出版社"
"Python+Spark 2 0+Hadoop机器学习与大数据实战 林大贵 清华大学出版社 9787302490739";83.16;"林大贵";"2017-12-01";"清华大学出版社"
"Python+Spark 2.0+Hadoop机器学习与大数据实战";96.2;"林大贵";"2018-01-01";"清华大学出版社"
"Python+Spark 2.0+Hadoop机器学习与大数据实战 大数据技术教程书籍 大数据理论和技术教材 机器学习";178.0;"Unknow";"2018-01-01";"清华大学出版社"
"Python+Spark 2.0+Hadoop机器学习与大数据实战 林大贵 著";71.2;"林大贵";"2018-01-01";"清华大学出版社"
"Python+Spark 2.0+Hadoop机器学习与大数据实战 清华大学出版社";83.2;"林大贵";"2018-01-01";"清华大学出版社"
"Python+Spark2.0+Hadoop机器学习与大数据实战";70.43;"林大贵";"2018-01-01";"清华大学"
"Python+Tableau数据可视化之美";92.0;"王红明";"2021-08-20";"机械工业出版社"
"Python+Tableau数据可视化之美 9787111686712 机械工业出版社 王红明,张鸿斌 著";86.13;"王红明";"2021-08-01";"机械工业出版社"
"Python+Tableau数据可视化之美 9787111686712 枫林苑图书专营店 数量：";64.35;"王红明";"2021-08-01";"机械工业出版社"
"Python+Tableau数据可视化之美 9787111686712 王红明,张鸿斌 机械工业出版社";72.3;"王红明";"2021-08-01";"机械工业出版社"
"Python+Tableau数据可视化之美 9787111686712 知礼图书专营店 数量：";64.35;"王红明";"2021-08-01";"机械工业出版社"
"Python+Tableau数据可视化之美 王红明,张鸿斌 9787111686712";78.21;"王红明";"2021-08-01";"机械工业出版社"
"Python+Tableau数据可视化之美 王红明,张鸿斌 著 机械工业出版社【正版书籍】";71.54;"王红明";"2021-08-01";"机械工业出版社"
"Python+Tableau数据可视化之美 程序设计 机械工业出版社 9787111686712";83.66;"Unknow";"2021-07-01";"机械工业出版社"
"Python+TensorFlow机器学习实战";76.8;"李鸥";"2019-05-30";"清华大学出版社"
"Python3 6编程实践指南 计算机科学入门 PaulGries,JenniferCampbell,JasonMont";46.2;"PaulGries";"2018-12-01";"机械工业出版社"
"Python3 网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南Python3网络爬虫项目开发教程书籍 基于";94.64;"崔庆才";"2010-12-30";"人民邮电出版社"
"Python3.0科学计算指南";58.0;"克劳斯・福勒";"2018-07-01";"人民邮电"
"Python3.5从零开始学";43.07;"刘宇宙";"2017-08-01";"清华大学"
"Python3.5从零开始学 刘宇宙 编著";44.2;"刘宇宙";"2017-08-01";"清华大学出版社"
"Python3.5从零开始学 清华大学出版社";44.2;"刘宇宙";"2017-08-01";"清华大学出版社"
"Python3.6编程实践指南:计算机科学入门";31.74;"PaulGries";"2018-12-01";"机械工业出版社"
"Python3.6编程实践指南:计算机科学入门 9787111609940";44.85;"PaulGries";"2018-12-01";"机械工业出版社"
"Python3.6编程实践指南:计算机科学入门(原书第3版) PaulGries,JenniferCampbell,Ja";56.58;"PaulGries";"2018-12-01";"机械工业出版社"
"Python3.7从零开始学 从零开始学Python数据分析与挖掘 全2册 笨方法学python编程快速上手从入门到精通";148.2;"Unknow";"2021-03-23";"厦门大学出版社"
"Python3.7从零开始学+从零开始学Python数据分析与挖掘 全2册 笨方法学python编程快速上手从入门到精通";151.0;"Unknow";"2014-12-01";"厦门大学出版社"
"Python3.7从零开始学python入门自学零基础教程书电脑编程实战python网络爬虫算法脚本程序设计实例计算机网";74.8;"Unknow";"2020-11-01";"清华大学出版社"
"Python3.7网络爬虫快速入门";41.2;"王启明";"2019-10-01";"清华大学"
"PYthon3.8从入门到精通 王英英 9787302552116";70.31;"王英英";"2020-04-01";"清华大学出版社"
"Python3.8从零开始学";63.84;"刘宇宙";"2020-04-01";"清华大学出版社"
"Python3.8从零开始学 刘宇宙,刘艳 9787302552147";63.0;"刘宇宙";"2020-04-01";"清华大学出版社"
"python3.8基础教程Python编程技术手册 Python编程从入门到精通计算机程序设计编程语言入门手册 pyth";72.0;"林信良";"2020-11-29";"中国水利水电出版社"
"Python3学习笔记(上卷)";51.62;"雨痕";"2018-01-01";"电子工业"
"Python3学习笔记上卷 电子工业出版社";44.5;"雨痕";"2018-01-01";"电子工业出版社"
"Python3学习笔记上卷 雨痕 著";50.7;"雨痕";"2018-01-01";"电子工业出版社"
"Python3快速入门与实战 9787111634058";54.51;"肖冠宇";"2019-09-01";"机械工业出版社"
"Python3智能数据 分析快速入门 （库区：M） 9787111628057";65.45;"李明江";"2019-07-01";"机械工业出版社"
"Python3智能数据分析快速入门";110.5;"李明江";"2019-07-01";"机械工业出版社"
"Python3智能数据分析快速入门 机械工业出版社 9787111628057 李明江,张良均,周东平,张尚佳";99.96;"李明江";"2019-07-01";"机械工业出版社"
"Python3智能数据分析快速入门 李明江,张良均,周东平,张尚佳 9787111628057";71.4;"李明江";"2019-07-01";"机械工业出版社"
"Python3智能数据分析快速入门 李明江,张良均,周东平,张尚佳 9787111628057 机械工业出版社【直发】";107.1;"李明江";"2019-07-01";"机械工业出版社"
"Python3智能数据分析快速入门 李明江,张良均,周东平,张尚佳 机械工业出版社【正版书籍】";78.77;"李明江";"2019-07-01";"机械工业出版社"
"Python3游戏开发从入门到精通 9787111681069 枫林苑图书专营店 数量：";69.02;"张有菊";"2021-06-01";"机械工业出版社"
"Python3游戏开发从入门到精通 9787111681069 知礼图书专营店 数量：";69.02;"张有菊";"2021-06-01";"机械工业出版社"
"Python3爬虫实战――数据清洗、数据分析与可视化 9787113260590";38.87;"姚良";"2019-10-01";"中国铁道出版社"
"Python3爬虫实战―数据清洗、数据分析与可视化 中国铁道出版社 9787113260590 姚良 著";49.64;"姚良";"2019-10-01";"中国铁道出版社"
"Python3爬虫实战―数据清洗、数据分析与可视化 姚良 9787113260590";40.1;"姚良";"2019-10-01";"中国铁道出版社"
"Python3爬虫实战―数据清洗、数据分析与可视化 姚良 9787113260590 中国铁道出版社";44.3;"姚良";"2019-10-01";"中国铁道出版社"
"Python3爬虫实战：数据清洗、数据分析与可视化";55.6;"姚良";"2019-10-01";"中国铁道出版社"
"Python3爬虫实战数据清洗数据分析与可视化【正版书籍 闪电发货】";27.99;"姚良";"2019-10-01";"中国铁道出版社"
"Python3程序开发指南(第2版,修订版) (美)萨默菲尔德(Mark Summerfield) 著;王弘博,孙伟庆";51.8;"萨默菲尔德";"2015-02-01";"人民邮电出版社"
"Python3程序开发指南(第2版,修订版) 人民邮电出版社";51.8;"萨默菲尔德";"2015-02-01";"人民邮电出版社"
"Python3程序开发指南(第2版修订版)";50.7;"萨默菲尔德|译者";"2015-02-01";"人民邮电"
"Python3程序开发指南(第2版修订版)针对Python 3.0/3.1编写 内容详实全面 实例丰富便于学习";48.46;"萨默菲尔德|译者";"2015-02-01";"人民邮电"
"Python3程序设计实例教程";38.1;"沈涵飞";"2021-03-01";"机械工业出版社"
"Python3网络爬虫宝典";39.5;"韦世东";"2020-09-01";"电子工业出版社"
"Python3网络爬虫宝典 9787121394065 韦世东 电子工业出版社";57.7;"韦世东";"2020-10-01";"电子工业出版社"
"Python3网络爬虫开发实战";76.23;"崔庆才";"2018-04-01";"人民邮电"
"Python3网络爬虫开发实战 D2版";111.84;"Unknow";"2021-11-17";"人民邮电出版社"
"PYTHON3网络爬虫开发实战 崔庆才 人民邮电出版社 9787115480347";81.18;"崔庆才";"2018-04-01";"人民邮电出版社"
"PYTHON3网络爬虫开发实战 崔庆才 人民邮电出版社 9787115480347【正版 部分稀缺古旧书籍 可开发票 下";60.96;"崔庆才";"2018-04-01";"人民邮电出版社"
"Python3网络爬虫开发实战 崔庆才 网络数据采集抓取处理分析书籍教程网络爬虫大数据教程动态网站爬取python3.6";80.0;"崔庆才";"2020-10-29";"人民邮电出版社"
"Python3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册数据抓取指南基于python3.6的爬虫图书籍+精通P";157.0;"崔庆才";"2018-04-01";"人民邮电出版社"
"Python3网络爬虫开发实战 第2二版 崔庆才网络数据采集抓取处理分析书籍教程网络爬虫项目开发动态";109.0;"崔庆才";"2021-11-01";"人民邮电出版社"
"Python3网络爬虫开发实战 第2版";69.9;"崔庆才";"2021-11-01";"人民邮电出版社"
"Python3网络爬虫开发实战 第2版 崔庆才 人民邮电出版社 9787115577092";127.22;"崔庆才";"2021-11-01";"人民邮电出版社"
"Python3网络爬虫开发实战 项目开发教程书籍 分布式视频爬虫录音爬虫编写 数据爬取技术 pyspider Scrap";76.23;"崔庆才";"2018-04-01";"人民邮电"
"Python3面向对象编程(第2版)";57.42;"达斯帝・菲利普斯|译者";"2018-06-01";"电子工业"
"Python3面向对象编程(第2版影印版)(英文版)";57.38;"杜斯提・菲利普";"2017-04-01";"东南大学"
"Python3高级教程";71.2;"马蒂・阿尔金";"2010-01-01";"清华大学出版社"
"Python一行流 像一样写代码 Python编码技术 Python语言编程教程书籍";85.0;"克里斯蒂安・迈耶";"2020-10-02";"电子工业出版社"
"Python一行流：像专家一样写代码";44.5;"Christian";"2021-10-01";"电子工业出版社"
"Python一行流：像专家一样写代码 9787121419683 [美]Christian,Mayer（克里斯蒂安?迈耶";65.9;"Christian";"2021-09-01";"电子工业出版社"
"Python一行流像专家一样写代码";71.2;"Christian";"2021-09-01";"电子工业出版社"
"Python一行流像专家一样写代码 （库区：M） 9787121419683";59.63;"Christian";"2021-09-01";"电子工业出版社"
"Python一行流像专家一样写代码 [美]Christian,Mayer（克里斯蒂安?迈耶）著,苏丹 978712141";70.3;"Christian";"2021-09-01";"电子工业出版社"
"Python一行流像专家一样写代码 9787121419683 枫林苑图书专营店 数量：";57.85;"Christian";"2021-09-01";"电子工业出版社"
"Python一行流像专家一样写代码 9787121419683 知礼图书专营店 数量：";57.85;"Christian";"2021-09-01";"电子工业出版社"
"Python与大数据分析应用";56.0;"朱荣";"2021-05-01";"清华大学出版社"
"Python与开源GIS：数据处理、空间分析与地图制图";100.3;"卜坤";"2019-12-01";"科学出版社"
"Python与数据挖掘";45.5;"张良均";"2016-11-21";"机械工业出版社"
"Python与有限元 中国水利水电出版社";41.0;"裴尧尧";"2017-12-01";"中国水利水电出版社"
"Python与有限元 裴尧尧,肖衡林,马强,李 9787517053705 水利水电出版社";38.7;"裴尧尧";"2018-01-01";"水利水电出版社"
"Python与有限元--基于Python编程的有限元分析及应用扩展";28.4;"裴尧尧";"2018-01-01";"水利水电出版社"
"Python与有限元--基于Python编程的有限元分析及应用扩展 Python编程有限元分析开源框架搭建开发设计教程书";52.0;"裴尧尧";"2019-11-04";"中国水利水电出版社"
"Python与机器学习";37.4;"陈清华";"2020-03-01";"电子工业出版社"
"Python与机器学习实战 决策树、集成学习、支持向量机与神经网络算法详解及编程实现 机器学习算法教程 视觉机器学习 P";65.0;"Unknow";"2019-10-24";"电子工业出版社"
"Python与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现 何宇健 编著 电子工业出版社 【正";68.0;"何宇健";"2017-06-01";"电子工业出版社"
"Python与神经网络实战";39.5;"何宇健";"2018-07-01";"电子工业出版社"
"Python与语言研究";37.4;"李文平";"2021-02-20";"机械工业出版社"
"Python与量化投资 从基础到实战 王小川 Python量化投资策略分析技术工具 金融数据分析挖掘信号构建 Pytho";92.0;"王小川";"2019-09-30";"电子工业出版社"
"Python与量化投资 从基础到实战python编程从入门到精通零基础自学量化投资教程书计算机电脑程序员数据软件分析开发";72.7;"王小川";"2021-03-20";"电子工业出版社"
"Python与量化投资 电子工业出版社";54.4;"王小川";"2018-04-01";"电子工业出版社"
"Python与量化投资-从基础到实战";74.3;"王小川";"2018-03-01";"电子工业出版社"
"Python与量化投资：从基础到实战";49.5;"王小川";"2018-03-01";"电子工业出版社"
"Python与量化投资(从基础到实战)";51.48;"王小川";"2018-04-01";"电子工业"
"Python中文自然语言处理基础与实战";57.3;"肖刚";"2022-01-01";"人民邮电出版社"
"Python中的图像处理";156.0;"罗子江";"2021-11-01";"科学出版社"
"Python书籍入门教程 零起点Python机器学习快速入门 何海群机器学习周志华 深度学习中文版deep learni";56.0;"何海群";"2017-05-01";"电子工业出版社"
"Python云原生【年终特惠特价图书49.9包邮】";164.6;"马尼什・塞西";"2018-07-01";"电子工业出版社"
"Python云原生【正版书籍，满额减】";159.82;"马尼什・塞西";"2018-07-01";"电子工业出版社"
"Python人工智能";34.5;"杨博雄";"2021-03-01";"清华大学出版社"
"Python人工智能 9787121413742";61.41;"李晓东";"2021-06-01";"电子工业出版社"
"Python人工智能 9787121413742 李晓东 电子工业出版社";65.0;"李晓东";"2021-06-01";"电子工业出版社"
"Python人工智能 李晓东 9787121413742";63.2;"李晓东";"2021-06-01";"电子工业出版社"
"Python人工智能 李晓东 电子工业出版社 9787121413742";76.54;"李晓东";"2021-06-01";"电子工业出版社"
"Python人工智能 李晓东 著 电子工业出版社 9787121413742";73.87;"李晓东";"2021-06-01";"电子工业出版社"
"Python人工智能开发从入门到精通";105.4;"杨柳";"2020-05-11";"北京大学出版社"
"Python人工智能开发从入门到精通 （库区：M） 9787301313039";79.73;"杨柳";"2020-06-01";"北京大学出版社"
"Python人工智能开发从入门到精通 9787301313039 枫林苑图书专营店 数量：";77.35;"杨柳";"2020-06-01";"北京大学出版社"
"Python人工智能开发从入门到精通 9787301313039 知礼图书专营店 数量：";77.35;"杨柳";"2020-06-01";"北京大学出版社"
"Python人工智能开发从入门到精通 北京大学出版社 9787301313039 杨柳,郭坦,鲁银芝";95.2;"杨柳";"2020-06-01";"北京大学出版社"
"Python人工智能开发从入门到精通 杨柳,郭坦,鲁银芝 9787301313039";94.01;"杨柳";"2020-06-01";"北京大学出版社"
"Python人工智能开发从入门到精通 杨柳,郭坦,鲁银芝 9787301313039 北京大学出版社";89.3;"杨柳";"2020-06-01";"北京大学出版社"
"Python人工智能开发从入门到精通杨柳,郭坦,鲁银芝北京大学出版社【正版图书，满额减】";106.36;"杨柳";"2020-06-01";"北京大学出版社"
"Python人工智能编程语言计算机与互联网编程语言与程序设计科技技术类书李晓东著项目开发神经网络编程书籍智能电子工业出版";57.85;"Unknow";"2010-12-30";"电子工业出版社"
"Python人工智能项目实战";73.4;"桑塔努・帕塔纳亚克";"2019-11-01";"机械工业出版社"
"Python人工智能项目实战/智能系统与技术丛书";56.88;"桑塔努・帕塔纳亚克|译者";"2019-10-01";"机械工业"
"Python人脸识别：从入门到工程实践";64.1;"王天庆";"2019-04-10";"机械工业出版社"
"Python人脸识别：从入门到工程实践 9787111623854";47.61;"王天庆";"2019-04-01";"机械工业出版社"
"Python人脸识别：从入门到工程实践 王天庆 9787111623854";49.0;"王天庆";"2019-04-01";"机械工业出版社"
"Python人脸识别(从入门到工程实践)/智能系统与技术丛书";49.68;"王天庆";"2019-04-01";"机械工业"
